Sector,Industry,Industry Name,Companies,Establishments,Employees,Revenue,Payroll,Productivity,Avg Salary,Avg. Hr Rate
72,721120,Casino hotels,259,419,"433,472","65,659,109,000","15,363,016,000",430%,"35,442",17.72
72,722310,Food service contractors,"3,550","28,476","628,796","45,317,422,000","14,612,376,000",310%,"23,239",11.62
72,722515,Snack and nonalcoholic beverage bars,"46,994","63,247","653,167","38,811,460,000","9,891,022,000",390%,"15,143",7.57
72,722410,Drinking places (alcoholic beverages),"39,057","39,859","365,323","23,936,346,000","6,005,694,000",400%,"16,439",8.22
72,722320,Caterers,"11,299","11,594","156,289","10,933,749,000","3,279,567,000",330%,"20,984",10.49
72,722514,"Cafeterias, grill buffets, and buffets","4,825","5,771","110,568","6,457,388,000","1,677,945,000",380%,"15,176",7.59
72,721214,Recreational and vacation camps (except campgrounds),"2,732","3,056","25,278","3,250,784,000","957,967,000",340%,"37,897",18.95
72,721211,RV (recreational vehicle) parks and campgrounds,"4,227","4,513","22,241","3,086,146,000","645,405,000",480%,"29,019",14.51
72,721310,Rooming and boarding houses,"1,706","1,887","9,658","1,745,497,000","237,363,000",740%,"24,577",12.29
72,722330,Mobile food services,"5,189","5,211","13,678","1,179,202,000","253,777,000",460%,"18,554",9.28
72,721191,Bed-and-breakfast inns,"2,882","2,925","14,088","1,055,097,000","270,849,000",390%,"19,226",9.61
72,721199,All other traveler accommodation,"1,364","1,418","8,386","881,677,000","222,209,000",400%,"26,498",13.25
81,813211,Grantmaking foundations,"11,549","11,968","97,475","83,619,616,000","6,044,664,000",1380%,"62,012",31.01
81,811111,General automotive repair,"78,745","82,749","354,876","50,120,546,000","13,472,222,000",370%,"37,963",18.98
81,811310,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,"19,938","21,767","202,493","39,257,982,000","11,315,288,000",350%,"55,880",27.94
81,811121,"Automotive body, paint, and interior repair and maintenance","32,811","35,516","247,415","38,669,502,000","11,464,400,000",340%,"46,337",23.17
81,813990,"Other similar organizations (except business, professional, labor, and political organizations)","19,699","20,062","142,619","29,076,311,000","6,075,861,000",480%,"42,602",21.3
81,813910,Business associations,"15,421","16,007","116,189","27,606,738,000","8,831,615,000",310%,"76,011",38.01
81,812112,Beauty salons,"66,184","78,887","432,037","22,636,143,000","9,824,364,000",230%,"22,740",11.37
81,813920,Professional organizations,"6,477","6,856","89,047","22,275,161,000","7,025,747,000",320%,"78,899",39.45
81,813212,Voluntary health organizations,"3,178","4,336","54,552","20,580,712,000","3,676,918,000",560%,"67,402",33.7
81,813410,Civic and social organizations,"24,219","25,833","220,362","17,833,533,000","5,023,702,000",350%,"22,797",11.4
81,813219,Other grantmaking and giving services,"3,607","3,788","34,641","15,676,149,000","1,741,698,000",900%,"50,279",25.14
81,812210,Funeral homes and funeral services,"11,296","15,850","108,215","14,677,403,000","3,658,313,000",400%,"33,806",16.9
81,813312,"Environment, conservation and wildlife organizations","6,228","7,813","77,377","13,031,769,000","3,410,211,000",380%,"44,073",22.04
81,813319,Other social advocacy organizations,"6,232","6,770","57,030","11,920,194,000","3,019,119,000",390%,"52,939",26.47
81,812990,All other personal services,"15,364","15,836","64,283","10,143,115,000","2,141,654,000",470%,"33,316",16.66
81,813311,Human rights organizations,"2,768","3,390","48,037","10,135,423,000","2,218,982,000",460%,"46,193",23.1
81,811192,Car washes,"13,890","16,381","161,797","9,723,877,000","3,139,018,000",310%,"19,401",9.7
81,812930,Parking lots and garages,"2,889","12,120","145,351","9,643,553,000","2,916,212,000",330%,"20,063",10.03
81,812332,Industrial launderers,373,"1,541","66,516","9,087,755,000","2,628,125,000",350%,"39,511",19.76
81,811219,Other electronic and precision equipment repair and maintenance,"2,750","3,378","33,394","8,127,443,000","1,983,466,000",410%,"59,396",29.7
81,812199,Other personal care services,"20,154","22,483","138,582","8,071,037,000","2,773,420,000",290%,"20,013",10.01
81,812320,Drycleaning and laundry services (except coin-operated),"18,088","20,657","132,026","7,972,006,000","2,694,612,000",300%,"20,410",10.21
81,812113,Nail salons,"24,848","24,931","102,348","6,239,083,000","1,843,439,000",340%,"18,011",9.01
81,811191,Automotive oil change and lubrication shops,"4,466","8,258","60,295","5,608,786,000","1,472,565,000",380%,"24,423",12.21
81,812910,Pet care (except veterinary) services,"18,147","18,464","108,973","5,354,319,000","2,127,615,000",250%,"19,524",9.76
81,812331,Linen supply,551,857,"50,842","4,648,741,000","1,669,230,000",280%,"32,832",16.42
81,811212,Computer and office machine repair and maintenance,"5,030","5,406","34,641","4,611,564,000","1,549,485,000",300%,"44,730",22.37
81,812310,Coin-operated laundries and drycleaners,"9,698","10,763","40,165","4,339,907,000","751,116,000",580%,"18,701",9.35
81,811122,Automotive glass replacement shops,"4,740","6,026","30,259","4,311,515,000","1,122,252,000",380%,"37,088",18.54
81,812220,Cemeteries and crematories,"3,879","5,226","32,504","4,182,682,000","1,273,805,000",330%,"39,189",19.59
81,811490,Other personal and household goods repair and maintenance,"9,761","10,460","36,248","3,911,543,000","1,157,940,000",340%,"31,945",15.97
81,811412,Appliance repair and maintenance,"4,355","4,535","22,786","3,578,730,000","802,435,000",450%,"35,216",17.61
81,811213,Communication equipment repair and maintenance,"1,711","1,944","15,272","2,908,908,000","725,431,000",400%,"47,501",23.75
81,811113,Automotive transmission repair,"4,253","4,365","16,397","2,209,201,000","618,465,000",360%,"37,718",18.86
81,811198,All other automotive repair and maintenance,"3,548","3,916","16,900","2,100,439,000","550,684,000",380%,"32,585",16.29
81,811118,Other automotive mechanical and electrical repair and maintenance,"3,030","3,389","14,919","1,943,548,000","523,138,000",370%,"35,065",17.53
81,812191,Diet and weight reducing centers,"1,296","2,982","25,273","1,780,294,000","442,699,000",400%,"17,517",8.76
81,812921,Photofinishing laboratories (except one-hour),405,418,"5,479","1,537,783,000","336,998,000",460%,"61,507",30.75
81,811211,Consumer electronics repair and maintenance,"1,717","1,815","13,575","1,416,115,000","495,863,000",290%,"36,528",18.26
81,811420,Reupholstery and furniture repair,"3,596","3,617","12,537","1,105,860,000","387,265,000",290%,"30,890",15.45
81,812111,Barber shops,"4,588","5,166","20,922","1,048,147,000","481,926,000",220%,"23,034",11.52
81,811112,Automotive exhaust system repair,"1,530","1,585","5,107","613,935,000","156,713,000",390%,"30,686",15.34
81,811411,Home and garden equipment repair and maintenance,"1,640","1,659","4,367","562,880,000","115,049,000",490%,"26,345",13.17
81,811430,Footwear and leather goods repair,923,956,"2,343","199,713,000","59,660,000",330%,"25,463",12.73
81,812922,One-hour photofinishing,116,119,365,"28,038,000","7,701,000",360%,"21,099",10.55
